"Conservative","Natural.Law","Ulster.Unionist","Democratic.Unionist","Alliance","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Constituency","CV","FPTP","Labour","Liberal.Democrat","Plaid.Cymru","Scottish.National","Liberal","Green","Independent.Conservative","Independent.Labour","Social.Democrat","Speaker"
0,0,0,0,0,0,0,0,"Bristol East","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Bristol North West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol South","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol West","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Bromsgrove","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999997,0,0,0,0,0,0,0,"Broxbourne","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Broxtowe","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Buckingham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Burnley","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Burton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Bury North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Bury South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Bury St. Edmunds","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caernarfon","Plaid.Cymru","Plaid.Cymru",0,0,99.9999999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caerphilly","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caithness and Sutherland","Liberal.Democrat","Liberal.Democrat",0,99.9999999999999,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Calder Valley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridge","Liberal.Democrat","Labour",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire North East","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Cambridgeshire South East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999996,0,0,0,0,0,0,0,"Cambridgeshire South West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cannock and Burntwood","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Canterbury","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff Central","Liberal.Democrat","Labour",0,100,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Cardiff North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff South and Penarth","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff West","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carlisle","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carmarthen","Labour","Labour",51.9872253024199,0,48.0127746975803,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carrick, Cumnock and Doon Valley","Labour","Labour",99.9999999999997,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carshalton and Wallington","Liberal.Democrat","Conservative",0,99.9999999999998,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Castle Point","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ceredigion and Pembroke North","Liberal.Democrat","Plaid.Cymru",0,100,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Cheadle","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Chelmsford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Chelsea","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cheltenham","Liberal.Democrat","Liberal.Democrat",0,100,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Chertsey and Walton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Chesham and Amersham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Chester, City of","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chesterfield","Liberal.Democrat","Labour",0,100,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Chichester","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Chingford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Chipping Barnet","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Chislehurst","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Chorley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Christchurch","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cirencester and Tewkesbury","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
99.9999999999997,0,0,0,0,0,0,0,"City of London and Westminster South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clackmannan","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Clwyd North West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clwyd South West","Green","Labour",1.26585633872491,0,0,0,0,98.7341436612755,0,0,0,0
0,0,0,0,0,0,0,0,"Clydebank and Milngavie","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clydesdale","Scottish.National","Labour",28.1762618370695,0,0,71.8237381629305,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Colchester North","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Colchester South and Maldon","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Colne Valley","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Congleton","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Conwy","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Copeland","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Corby","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cornwall North","Liberal.Democrat","Liberal.Democrat",0,99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cornwall South East","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry North East","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry North West","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry South East","Independent.Labour","Labour",0,20.5053720238564,0,0,0,0,0,79.4946279761437,0,0
100,0,0,0,0,0,0,0,"Coventry South West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Crawley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Crewe and Nantwich","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Crosby","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Croydon Central","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Croydon North East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Croydon North West","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Croydon South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cumbernauld and Kilsyth","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cunninghame North","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cunninghame South","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cynon Valley","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dagenham","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Darlington","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Dartford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Daventry","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Davyhulme","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Delyn","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Denton and Reddish","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Derby North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derby South","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derbyshire North East","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Derbyshire South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Derbyshire West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999997,0,0,0,0,0,0,0,"Devizes","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Devon North","Liberal.Democrat","Liberal.Democrat",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Devon West and Torridge","Liberal.Democrat","Conservative",0,99.9999999999998,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Dewsbury","Conservative","Labour",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Don Valley","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Doncaster Central","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Doncaster North","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dorset North","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dorset South","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dorset West","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
72.6018522780294,0,0,0,0,0,0,0,"Dover","Conservative","Conservative",0,0,0,0,0,0,27.398147721971,0,0,0
0,0,0,0,0,0,0,0,"Dudley East","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Dudley West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dulwich","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dumbarton","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Dumfries","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dundee East","Scottish.National","Labour",0,0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dundee West","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dunfermline East","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dunfermline West","Liberal.Democrat","Labour",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Durham North","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Durham North West","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Durham, City of","Labour","Labour",100,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Ealing Acton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999997,0,0,0,0,0,0,0,"Ealing North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ealing Southall","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Easington","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"East Kilbride","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"East Lothian","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eastbourne","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eastleigh","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Eastwood","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eccles","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Eddisbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh Central","Liberal","Labour",0,0,0,0,68.8101244784552,31.1898755215449,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh East","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh Leith","Scottish.National","Labour",0,0,0,99.9999999999999,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Edinburgh Pentlands","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,100,0,0,0,0,0,0,"Edinburgh South","Natural.Law","Labour",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh West","Liberal.Democrat","Conservative",0,99.9999999999999,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Edmonton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ellesmere Port and Neston","Labour","Labour",100,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Elmet","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Eltham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Enfield North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Enfield Southgate","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Epping Forest","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Epsom and Ewell","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Erewash","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Erith and Crayford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Esher","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Exeter","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Falkirk East","Scottish.National","Labour",0,0,0,100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Falkirk West","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Falmouth and Camborne","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
99.9999999999998,0,0,0,0,0,0,0,"Fareham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Faversham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Feltham and Heston","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Fife Central","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Fife North East","Liberal.Democrat","Liberal.Democrat",0,100,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Finchley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Folkestone and Hythe","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Fulham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Fylde","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Gainsborough and Horncastle","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Galloway and Upper Nithsdale","Scottish.National","Conservative",0,0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Gateshead East","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Gedling","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
99.9999999999999,0,0,0,0,0,0,0,"Gillingham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glanford and Scunthorpe","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Cathcart","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Central","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Garscadden","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Govan","Scottish.National","Labour",0,0,0,99.9999999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Hillhead","Liberal.Democrat","Labour",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Maryhill","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Pollok","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Provan","Labour","Labour",99.9999999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Rutherglen","Labour","Labour",99.9999999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Shettleston","Labour","Labour",100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Glasgow Springburn","Labour","Labour",100,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,"Gloucester","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Gloucestershire West","Liberal.Democrat","Conservative",0,100,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Gordon","Liberal.Democrat","Liberal.Democrat",0,99.9999999999998,0,0,0,0,0,0,0,0
